element_id,node_ids,ai_severity,primary_action,confidence
1,"13440,7,13475,13441",MEDIUM,CHECK_GEOMETRY,0.45
2,"13540,13472,11,13467",LOW,NO_ACTION,0.36
5,"5,13737,10816,13438",LOW,NO_ACTION,0.35
6,"10534,10816,13446,13448",HIGH,REMESH_REGION,0.95
7,"1321,13390,13385,13386",LOW,REMESH_REGION,0.95
9,"1325,9,13389,13387",LOW,NO_ACTION,0.33
10,"13706,28,30,13711",LOW,NO_ACTION,0.29
11,"11,13478,10819,32",MEDIUM,REMESH_REGION,0.95
12,"107,43,41,97",LOW,NO_ACTION,0.38
15,"13719,24,22,13715",LOW,NO_ACTION,0.37
19,"13715,22,18,13443",LOW,NO_ACTION,0.34
39,"13460,1325,1321,15",MEDIUM,CHECK_GEOMETRY,0.45387255532021215
42,"53,13470,13471,13468",LOW,NO_ACTION,0.34
43,"13382,13384,13470,13471",MEDIUM,CHECK_GEOMETRY,0.45
44,"13470,13383,12999,13471",MEDIUM,CHECK_GEOMETRY,0.45
48,"13531,13474,13411,13457",LOW,NO_ACTION,0.38
50,"13,55,13417,13409",HIGH,PROJECT_TO_CAD,0.6175076413994571
51,"13413,13417,55,57",LOW,NO_ACTION,0.39
52,"57,59,13414,13413",MEDIUM,CHECK_GEOMETRY,0.45
53,"13,13409,13404,61",HIGH,REMESH_REGION,0.95
54,"59,13599,13415,13414",MEDIUM,CHECK_GEOMETRY,0.4584970280760485
55,"13531,63,55,13",LOW,NO_ACTION,0.38
58,"26,13405,13541,61",LOW,NO_ACTION,0.36
59,"67,59,57,63",MEDIUM,PROJECT_TO_CAD,0.5
60,"13531,13,65,13474",HIGH,LOCAL_REMESH,0.5901423558013918
61,"59,67,20,13599",LOW,NO_ACTION,0.37
62,"13541,4108,65,61",LOW,NO_ACTION,0.37
63,"13474,69,63,13531",LOW,NO_ACTION,0.29
64,"4108,71,13474,65",MEDIUM,CHECK_GEOMETRY,0.45
65,"69,73,67,63",LOW,NO_ACTION,0.28
66,"4108,13541,13540,75",LOW,NO_ACTION,0.37
67,"71,77,69,13474",MEDIUM,PROJECT_TO_CAD,0.5
68,"79,20,67,73",LOW,NO_ACTION,0.38
70,"75,83,71,4108",LOW,NO_ACTION,0.28
71,"13467,13540,13408,13424",LOW,NO_ACTION,0.36
72,"77,85,73,69",LOW,NO_ACTION,0.39
73,"87,13476,13460,15",HIGH,LOCAL_REMESH,0.6080346492888008
74,"75,13540,13467,89",LOW,NO_ACTION,0.29
75,"91,1321,20,79",MEDIUM,PROJECT_TO_CAD,0.5
76,"91,93,15,1321",MEDIUM,PROJECT_TO_CAD,0.5009469567322482
77,"95,77,71,83",LOW,NO_ACTION,0.29
78,"41,79,73,85",LOW,NO_ACTION,0.35
79,"89,99,83,75",LOW,NO_ACTION,0.32
80,"13391,13398,13476,87",LOW,NO_ACTION,0.36
81,"101,85,77,95",LOW,NO_ACTION,0.37
82,"13469,87,15,93",LOW,NO_ACTION,0.32
84,"13467,13424,13423,103",MEDIUM,CHECK_GEOMETRY,0.47650680285806507
85,"105,93,91,43",LOW,NO_ACTION,0.4
86,"43,91,79,41",LOW,NO_ACTION,0.37
87,"83,99,109,95",LOW,NO_ACTION,0.34
88,"97,41,85,101",LOW,NO_ACTION,0.38
89,"89,103,113,99",LOW,NO_ACTION,0.34
90,"87,13469,39,13391",LOW,NO_ACTION,0.35
91,"93,105,53,13469",LOW,NO_ACTION,0.4
92,"95,109,115,101",LOW,NO_ACTION,0.37
93,"117,105,43,107",LOW,NO_ACTION,0.38
94,"97,111,118,107",LOW,NO_ACTION,0.35
95,"45,103,13423,13421",MEDIUM,CHECK_GEOMETRY,0.4505990225459197
96,"113,123,109,99",LOW,NO_ACTION,0.36
97,"111,97,101,115",HIGH,PROJECT_TO_CAD,0.5875293490653356
98,"13468,53,105,117",LOW,NO_ACTION,0.32
99,"113,103,45,13515",LOW,NO_ACTION,0.38
100,"13393,39,13469,53",LOW,NO_ACTION,0.32
101,"107,118,125,117",LOW,NO_ACTION,0.36
102,"127,115,109,123",LOW,NO_ACTION,0.37
104,"111,13679,13685,118",LOW,NO_ACTION,0.35
106,"123,113,13515,129",MEDIUM,PROJECT_TO_CAD,0.5122334297446908
107,"53,13468,13401,13393",LOW,NO_ACTION,0.37
108,"45,13422,13473,13515",LOW,NO_ACTION,0.39
109,"13679,111,115,127",LOW,NO_ACTION,0.38
111,"123,129,131,127",LOW,NO_ACTION,0.39
112,"125,118,13685,13691",LOW,NO_ACTION,0.34
113,"13468,125,13402,13401",MEDIUM,CHECK_GEOMETRY,0.45579302163808394
114,"13473,13422,13420,133",LOW,NO_ACTION,0.39
115,"13687,13679,127,131",LOW,NO_ACTION,0.37
116,"129,13473,133,135",MEDIUM,PROJECT_TO_CAD,0.5
117,"13691,13403,13402,125",MEDIUM,PROJECT_TO_CAD,0.5014897224569179
118,"135,137,131,129",LOW,NO_ACTION,0.37
119,"13694,13687,131,137",LOW,NO_ACTION,0.32
120,"13419,139,133,13420",LOW,NO_ACTION,0.39
121,"139,141,135,133",LOW,NO_ACTION,0.34
122,"141,13701,137,135",LOW,NO_ACTION,0.31
125,"22,139,13419,18",LOW,NO_ACTION,0.38
126,"141,139,22,24",LOW,NO_ACTION,0.36
127,"28,13706,13701,145",LOW,NO_ACTION,0.38
129,"145,13701,141,24",LOW,NO_ACTION,0.35
130,"13463,28,145,147",LOW,NO_ACTION,0.31
131,"13711,30,34,13430",LOW,NO_ACTION,0.3
132,"147,145,24,13719",LOW,NO_ACTION,0.36
133,"34,30,13463,13429",MEDIUM,CHECK_GEOMETRY,0.45
134,"149,13465,13463,147",MEDIUM,CHECK_GEOMETRY,0.45
135,"13463,13465,13428,13429",LOW,NO_ACTION,0.35
136,"149,147,13719,13458",LOW,NO_ACTION,0.3
137,"5,13465,149,13737",LOW,NO_ACTION,0.32
141,"49,13477,13541,4108",HIGH,LOCAL_REMESH,0.6526408746128126
145,"13515,13473,13455,13456",LOW,REMESH_REGION,0.95
149,"13464,13466,13449,13453",MEDIUM,CHECK_GEOMETRY,0.45
150,"13451,13466,13464,13452",MEDIUM,CHECK_GEOMETRY,0.45
151,"13465,13463,13464,13466",LOW,NO_ACTION,0.31
153,"13737,149,13458,13475",LOW,NO_ACTION,0.3
154,"13475,7,10816,13737",LOW,NO_ACTION,0.38
27121,"1325,13387,13415,13599",MEDIUM,CHECK_GEOMETRY,0.45
27138,"20,1321,1325,13599",LOW,NO_ACTION,0.33
27142,"13389,9,13622,13396",LOW,NO_ACTION,0.3
27147,"13405,13408,13540,13541",LOW,NO_ACTION,0.28
27153,"13622,13395,13394,13396",LOW,NO_ACTION,0.39
27162,"9,13460,13476,13622",LOW,NO_ACTION,0.3
27175,"13622,13476,13398,13395",LOW,NO_ACTION,0.32
27243,"13687,13693,13685,13679",LOW,NO_ACTION,0.35
27250,"13693,13698,13691,13685",LOW,NO_ACTION,0.36
27252,"13694,13700,13693,13687",LOW,NO_ACTION,0.31
27258,"13700,13705,13698,13693",LOW,NO_ACTION,0.31
27259,"13701,13706,13700,13694",LOW,NO_ACTION,0.28
27263,"13698,13399,13403,13691",LOW,NO_ACTION,0.36
27266,"13706,13711,13705,13700",LOW,NO_ACTION,0.28
27271,"13705,13431,13399,13698",LOW,NO_ACTION,0.31
27278,"13711,13430,13431,13705",LOW,NO_ACTION,0.28
27284,"13715,13442,13458,13719",LOW,NO_ACTION,0.29
27304,"13458,13442,13441,13475",MEDIUM,CHECK_GEOMETRY,0.45
27323,"10534,7,13440,13437",MEDIUM,REMESH_REGION,0.95
27325,"13438,10816,10534,13439",LOW,NO_ACTION,0.39
27326,"13439,13437,13434,36",MEDIUM,REMESH_REGION,0.95
27349,"13540,13541,13477,13472",LOW,NO_ACTION,0.39
27350,"13472,13477,13461,12226",MEDIUM,REMESH_REGION,0.95
